year_start,year_end,author,score
1988,1992,Helia H. SATO,0.008361204013377926
1988,1992,Yong K. PARK,0.008361204013377926
1988,1992,小幡 孝之,0.015050167224080268
1988,1992,後藤 邦康,0.015050167224080268
1988,1992,森川 智,0.008361204013377926
1988,1992,西谷 尚道,0.013377926421404682
1988,1992,ISHIDA Kentarou,0.005016722408026756
1988,1992,IWANO Kimio,0.005016722408026756
1988,1992,MIKAMI Shigeaki,0.005016722408026756
1988,1992,SHIINOKI Satoshi,0.005016722408026756
1988,1992,Pramoto TAMMARATE,0.005016722408026756
1988,1992,中村 欽一,0.013377926421404682
1988,1992,佐藤 和夫,0.023411371237458192
1988,1992,吉沢 淑,0.2608695652173913
1988,1992,一島 英治,0.21070234113712374
1988,1992,三上 重明,0.33612040133779264
1988,1992,三島 秀夫,0.33277591973244147
1988,1992,上村 稔,0.20903010033444816
1988,1992,下林 義昭,0.20903010033444816
1988,1992,下飯 仁,0.3394648829431438
1988,1992,中村 明弘,0.21237458193979933
1988,1992,中村 豊郎,0.32608695652173914
1988,1992,中沢 信吉,0.20903010033444816
1988,1992,中沢 英五郎,0.34448160535117056
1988,1992,中谷 和夫,0.32608695652173914
1988,1992,五味 勝也,0.33612040133779264
1988,1992,今井 誠一,0.20903010033444816
1988,1992,今安 聰,0.32608695652173914
1988,1992,伊藤 寛,0.2157190635451505
1988,1992,伊藤 清,0.34448160535117056
1988,1992,佐伯 宏,0.22073578595317725
1988,1992,佐無田 隆,0.22240802675585283
1988,1992,佐藤 俊一,0.3377926421404682
1988,1992,内田 正裕,0.21237458193979933
1988,1992,北本 勝ひこ,0.22240802675585283
1988,1992,原田 徳英,0.20903010033444816
1988,1992,友弘 幸男,0.3277591973244147
1988,1992,坂下 和久,0.20903010033444816
1988,1992,大屋敷 春夫,0.21237458193979933
1988,1992,大林 晃,0.21237458193979933
1988,1992,大河内 基夫,0.32608695652173914
1988,1992,大田 恵教,0.20903010033444816
1988,1992,大西 邦男,0.20903010033444816
1988,1992,太田 剛雄,0.22909698996655517
1988,1992,奈良原 英樹,0.20903010033444816
1988,1992,字野 豊子,0.20903010033444816
1988,1992,安部 康久,0.32608695652173914
1988,1992,家藤 治幸,0.22408026755852842
1988,1992,富永 一哉,0.20903010033444816
1988,1992,富田 実,0.32608695652173914
1988,1992,寺井 悌三,0.20903010033444816
1988,1992,小林 信也,0.3377926421404682
1988,1992,小林 幹彦,0.0016722408026755853
1988,1992,小林 有一,0.32608695652173914
1988,1992,小泉 幸道,0.32608695652173914
1988,1992,小田 佳緒子,0.21070234113712374
1988,1992,小野 章夫,0.32608695652173914
1988,1992,山下 伸雄,0.32608695652173914
1988,1992,山下 勝,0.2140468227424749
1988,1992,山口 勝義,0.20903010033444816
1988,1992,山崎 厚夫,0.2140468227424749
1988,1992,山本 奈美,0.23244147157190634
1988,1992,山枡 杉二郎,0.20903010033444816
1988,1992,岡 智,0.21237458193979933
1988,1992,岡崎 直人,0.3411371237458194
1988,1992,岡本 竹己,0.3294314381270903
1988,1992,岩渕 坦,0.20903010033444816
1988,1992,岩田 深也,0.32608695652173914
1988,1992,川戸 章嗣,0.32608695652173914
1988,1992,市川 英治,0.32608695652173914
1988,1992,布川 弥太郎,0.33444816053511706
1988,1992,平野 俊典,0.20903010033444816
1988,1992,後藤 昭二,0.21237458193979933
1988,1992,戸塚 昭,0.3311036789297659
1988,1992,斉藤 朱美,0.20903010033444816
1988,1992,早野 靖之,0.20903010033444816
1988,1992,木崎 康造,0.22408026755852842
1988,1992,本間 伸夫,0.32608695652173914
1988,1992,本馬 健光,0.33612040133779264
1988,1992,松井 菊恵,0.32608695652173914
1988,1992,松本 伊左尾,0.20903010033444816
